Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image
mynt-1792-zipper-high-waist-skirt,Zipper High Waist Skirt,"",MYNT 1792,Pants and Skirts,"12, 14, 16, 18, 20, 22, 24, Full",false,Size,12,Color,Black,,,MYT-SKT-ZHW-BLK-12,454,shopify,0,deny,manual,108.00,,true,true,30931,,,false,Zipper High Waist Skirt | MYNT 1792,,,,,,,,,,,,,,,
mynt-1792-zipper-high-waist-skirt,,,,,,,Size,14,Color,Black,,,MYT-SKT-ZHW-BLK-14,454,shopify,0,deny,manual,108.00,,true,true,30931,,,,,,,,,,,,,,,,,,,
mynt-1792-zipper-high-waist-skirt,,,,,,,Size,16,Color,Black,,,MYT-SKT-ZHW-BLK-16,454,shopify,0,deny,manual,108.00,,true,true,30931,,,,,,,,,,,,,,,,,,,
mynt-1792-zipper-high-waist-skirt,,,,,,,Size,18,Color,Black,,,MYT-SKT-ZHW-BLK-18,454,shopify,0,deny,manual,108.00,,true,true,30931,,,,,,,,,,,,,,,,,,,
mynt-1792-zipper-high-waist-skirt,,,,,,,Size,20,Color,Black,,,MYT-SKT-ZHW-BLK-20,454,shopify,0,deny,manual,108.00,,true,true,30931,,,,,,,,,,,,,,,,,,,
mynt-1792-zipper-high-waist-skirt,,,,,,,Size,22,Color,Black,,,MYT-SKT-ZHW-BLK-22,454,shopify,0,deny,manual,108.00,,true,true,30931,,,,,,,,,,,,,,,,,,,
mynt-1792-zipper-high-waist-skirt,,,,,,,Size,24,Color,Black,,,MYT-SKT-ZHW-BLK-24,454,shopify,0,deny,manual,108.00,,true,true,30931,,,,,,,,,,,,,,,,,,,
zanzibar-onepiece-olive,Zanzibar Onepiece,"<p>This gorgeous zanzibar asymmetrical one piece suit features soft cups for support, and a flattering halter neck line. It is fully lined with control lining and the metal hardware finishing adds the perfect touch.</p>
<div><strong>Fabrication:<br /></strong>80% nylon and 20% spandex<strong><br /></strong></div>
<div><strong>Care:</strong> <br />Rinse with cold water. Wash in delicate cycle orhand washand lay flat to dry.</div>
<div>
<p><strong>Model:</strong><br />Chloe is wearing the Zanzibar Onepiece is in size 1X.</p>
</div>",Josephine Swim,Swim,"0X (10/12), 1X (14/16), 2X (18/20), 3X (22/24), Full, SWIM, SWIMVIP20",false,Size,0X (10/12),Color,Olive,,,JOE-SWM-ZAN-OLI-0X,680,shopify,0,continue,manual,160.00,,true,true,,https://cdn.shopify.com/s/files/1/0450/1517/products/Zanzibar_Onepiece_70912d21-1723-4660-9496-f7ee13332412.jpeg?v=1400077538,Josephine Swim Zanzibar One Piece in Olive Front,false,,,,,,,,,,,,,,,,
zanzibar-onepiece-olive,,,,,,,Size,1X (14/16),Color,Olive,,,JOE-SWM-ZAN-OLI-1X,680,shopify,0,continue,manual,160.00,,true,true,,https://cdn.shopify.com/s/files/1/0450/1517/products/zanzibar_onepiece_back.jpg?v=1400077538,Josephine Swim Zanzibar Onepiece in Olive Back,,,,,,,,,,,,,,,,,
zanzibar-onepiece-olive,,,,,,,Size,2X (18/20),Color,Olive,,,JOE-SWM-ZAN-OLI-2X,680,shopify,0,continue,manual,160.00,,true,true,,https://cdn.shopify.com/s/files/1/0450/1517/products/Zanzibar_One_piece.jpeg?v=1400077538,Josephine Swim Zanzibar Onepiece in Olive,,,,,,,,,,,,,,,,,
